__time,/cable_length/data,/hoist_motor_voltage/data,/sway_angle/data,/trolley_motor_voltage/data,/trolley_position/data
1717494492.717763,,,,0.000000000,
1717494492.720805,0.424333423,,,,
1717494492.720828,,,-0.035877947,,
1717494492.725669,,0.000000000,,,
1717494492.732665,,,,,0.000000000
1717494492.749733,,,,0.000000000,
1717494492.754498,0.424330324,,,,
1717494492.754515,,,-0.037713360,,
1717494492.756657,,0.000000000,,,
1717494492.763643,,,,,0.000000000
1717494492.779788,,,,0.000000000,
1717494492.785752,,0.000000000,,,
1717494492.785911,0.424325973,,,,
1717494492.785923,,,-0.013825118,,
1717494492.792707,,,,,0.000000000
1717494492.809800,,,,0.000000000,
1717494492.816721,,0.000000000,,,
1717494492.820111,0.424318492,,,,
1717494492.820136,,,0.010148256,,
1717494492.823649,,,,,0.000000000
1717494492.841797,,,,0.000000000,
1717494492.847735,,0.000000000,,,
1717494492.853721,,,,,0.000000000
1717494492.854529,0.424286515,,,,
1717494492.854541,,,0.034260720,,
1717494492.870772,,,,0.000000000,
1717494492.878728,,0.000000000,,,
1717494492.885747,,,,,0.000000000
1717494492.886595,0.424304277,,,,
1717494492.886623,,,0.045865200,,
1717494492.903823,,,,0.000000000,
1717494492.909688,,0.000000000,,,
1717494492.916742,,,,,0.000000000
1717494492.920033,0.424276680,,,,
1717494492.920058,,,0.044789877,,
1717494492.934781,,,,0.000000000,
1717494492.941758,,0.000000000,,,
1717494492.947667,,,,,0.000000000
1717494492.953667,0.424246013,,,,
1717494492.953692,,,0.044097058,,
1717494492.964719,,,,0.000000000,
1717494492.971810,,0.000000000,,,
1717494492.978739,,,,,0.000000000
1717494492.986660,0.424239814,,,,
1717494492.986689,,,0.043840695,,
1717494492.995772,,,,0.000000000,
1717494493.002758,,0.000000000,,,
1717494493.010706,,,,,0.000000000
1717494493.020152,0.424282134,,,,
1717494493.020197,,,0.056866486,,
1717494493.027705,,,,0.000000000,
1717494493.034734,,0.000000000,,,
1717494493.040771,,,,,0.000000000
1717494493.054358,0.424251944,,,,
1717494493.054403,,,0.044388231,,
1717494493.057787,,,,0.000000000,
1717494493.064688,,0.000000000,,,
1717494493.074816,,,,,0.000000000
1717494493.087410,0.424248278,,,,
1717494493.087443,,,0.057910666,,
1717494493.091726,,,,0.000000000,
1717494493.098710,,0.000000000,,,
1717494493.107815,,,,,0.000000000
1717494493.120009,0.424270213,,,,
1717494493.120046,,,0.046167646,,
1717494493.125798,,,,0.000000000,
1717494493.151977,0.424294740,,,,
1717494493.152014,,,0.047443297,,
1717494493.164773,,0.000000000,,,
1717494493.187856,0.424273878,,,,
1717494493.187893,,,0.035814553,,
1717494493.191763,,,,,0.000000000
1717494493.205796,,,,0.000000000,
1717494493.216800,,0.000000000,,,
1717494493.218667,0.424249351,,,,
1717494493.218683,,,0.036946759,,
1717494493.230766,,,,,0.000000000
1717494493.240793,,,,0.000000000,
1717494493.251788,,0.000000000,,,
1717494493.252148,0.424246758,,,,
1717494493.252191,,,0.025557505,,
1717494493.267871,,,,,0.000000000
1717494493.277837,,,,0.000000000,
1717494493.284882,0.424247503,,,,
1717494493.284914,,,0.014092583,,
1717494493.287709,,0.000000000,,,
1717494493.301875,,,,,0.000000000
1717494493.310821,,,,0.000000000,
1717494493.317963,0.424202859,,,,
1717494493.318000,,,-0.010357327,,
1717494493.322719,,0.000000000,,,
1717494493.333802,,,,,0.000000000
1717494493.344835,,,,0.000000000,
1717494493.353020,0.424154311,,,,
1717494493.353059,,,-0.022126682,,
1717494493.354740,,612.000000000,,,
1717494493.369836,,,,,0.000000000
1717494493.380863,,,,0.795000017,
1717494493.387408,0.424155056,,,,
1717494493.387451,,,-0.033818018,,
1717494493.390752,,682.000000000,,,
1717494493.403861,,,,,0.000000000
1717494493.414827,,,,1.700000048,
1717494493.420058,0.424159437,,,,
1717494493.420079,,,-0.058347557,,
1717494493.424793,,682.000000000,,,
1717494493.434833,,,,,0.000944444
1717494493.444861,,,,2.779000044,
1717494493.453409,0.424207985,,,,
1717494493.453454,,,-0.044628382,,
1717494493.454776,,782.000000000,,,
1717494493.469851,,,,,0.003333333
1717494493.480841,,,,3.858000040,
1717494493.486253,0.424186170,,,,
1717494493.486280,,,-0.018686630,,
1717494493.490836,,638.000000000,,,
1717494493.500875,,,,,0.005722222
1717494493.509832,,,,4.690999985,
1717494493.519575,0.424214542,,,,
1717494493.519601,,,0.070964120,,
1717494493.521765,,723.000000000,,,
1717494493.536852,,,,,0.008500000
1717494493.546859,,,,5.659999847,
1717494493.547789,0.424248725,,,,
1717494493.547836,,,0.172845200,,
1717494493.560843,,662.000000000,,,
1717494493.571847,,,,,0.011111111
1717494493.581879,,,,6.533999920,
1717494493.584507,0.424283743,,,,
1717494493.584551,,,0.299346149,,
1717494493.595928,,636.000000000,,,
1717494493.606817,,,,,0.013333334
1717494493.616867,0.424319625,,,,
1717494493.616901,,,0.450542718,,
1717494493.617781,,,,7.356999874,
1717494493.633887,,706.000000000,,,
1717494493.643897,,,,,0.015388889
1717494493.653414,0.424356252,,,,
1717494493.653448,,,0.626241624,,
1717494493.653788,,,,8.305000305,
1717494493.667848,,750.000000000,,,
1717494493.677917,,,,,0.017333332
1717494493.687042,0.424418122,,,,
1717494493.687095,,,0.788051724,,
1717494493.687794,,,,9.317000389,
1717494493.703887,,685.000000000,,,
1717494493.713879,,,,,0.019777779
1717494493.719136,0.424456984,,,,
1717494493.719163,,,0.974260628,,
1717494493.723812,,,,9.425999641,
1717494493.733879,,661.000000000,,,
1717494493.743891,,,,,0.021611111
1717494493.750439,0.424468189,,,,
1717494493.750481,,,1.159201503,,
1717494493.754789,,,,9.399000168,
1717494493.767867,,671.000000000,,,
1717494493.778902,,,,,0.023555556
1717494493.784845,0.424435616,,,,
1717494493.784875,,,1.304825544,,
1717494493.787857,,,,9.208000183,
1717494493.801905,,656.000000000,,,
1717494493.814903,,,,,0.025166666
1717494493.818576,0.424466938,,,,
1717494493.818603,,,1.398722291,,
1717494493.824858,,,,8.993000031,
1717494493.834924,,741.000000000,,,
1717494493.845879,,,,,0.026500000
1717494493.851817,0.424521118,,,,
1717494493.851852,,,1.441246390,,
1717494493.855798,,,,9.168999672,
1717494493.868934,,741.000000000,,,
1717494493.878906,,,,,0.028611111
1717494493.885970,0.424496591,,,,
1717494493.886006,,,1.432392716,,
1717494493.889820,,,,9.187000275,
1717494493.902911,,733.000000000,,,
1717494493.913904,,,,,0.031222222
1717494493.918815,0.424493045,,,,
1717494493.918850,,,1.385520101,,
1717494493.923816,,,,9.302000046,
1717494493.932819,,785.000000000,,,
1717494493.942912,,,,,0.034388889
1717494493.952092,0.424414396,,,,
1717494493.952151,,,1.325958729,,
1717494493.952838,,,,9.538999557,
1717494493.968867,,648.000000000,,,
1717494493.979869,,,,,0.038666666
1717494493.987630,0.424429923,,,,
1717494493.987668,,,1.241596818,,
1717494493.990829,,,,9.432000160,
1717494494.004960,,626.000000000,,,
1717494494.015897,,,,,0.042555556
1717494494.017862,0.424346656,,,,
1717494494.017893,,,1.144718409,,
1717494494.030837,,,,9.260000229,
1717494494.040937,,794.000000000,,,
1717494494.051033,,,,,0.046722222
1717494494.051240,0.424309671,,,,
1717494494.051258,,,1.023033142,,
1717494494.067023,,,,9.430000305,
1717494494.077014,,626.000000000,,,
1717494494.084869,0.424293786,,,,
1717494494.084909,,,0.889321327,,
1717494494.086884,,,,,0.051888891
1717494494.101967,,,,9.352999687,
1717494494.112922,,617.000000000,,,
1717494494.118108,0.424228251,,,,
1717494494.118141,,,0.781580210,,
1717494494.128958,,,,,0.057611112
1717494494.138044,,,,9.248000145,
1717494494.147958,,693.000000000,,,
1717494494.152502,0.424145162,,,,
1717494494.152537,,,0.699962556,,
1717494494.157906,,,,,0.061333332
1717494494.166945,,,,9.303999901,
1717494494.176970,,617.000000000,,,
1717494494.185229,0.424037248,,,,
1717494494.185266,,,0.605978251,,
1717494494.186897,,,,,0.064888887
1717494494.202972,,,,9.081000328,
1717494494.213976,,603.000000000,,,
1717494494.221181,0.423999488,,,,
1717494494.221245,,,0.479277164,,
1717494494.223850,,,,,0.068777777
1717494494.238960,,,,8.852999687,
1717494494.247995,,797.000000000,,,
1717494494.252384,0.423912048,,,,
1717494494.252413,,,0.399054885,,
1717494494.258877,,,,,0.071944445
1717494494.269035,,,,8.939999580,
1717494494.280452,0.423881263,,,,
1717494494.280491,,797.000000000,,,
1717494494.280504,,,0.294070184,,
1717494494.293956,,,,,0.076222219
1717494494.303977,,,,8.675999641,
1717494494.313140,0.423727870,,,,
1717494494.313173,,,0.189316034,,
1717494494.313862,,624.000000000,,,
1717494494.333934,,,,,0.080722220
1717494494.344920,,,,8.690999985,
1717494494.347412,0.423674196,,,,
1717494494.347433,,,0.085507452,,
1717494494.358906,,649.000000000,,,
1717494494.368954,,,,,0.084333330
1717494494.378998,,,,8.694999695,
1717494494.384972,0.423649907,,,,
1717494494.385015,,,-0.017601725,,
1717494494.388901,,649.000000000,,,
1717494494.402010,,,,,0.087222219
1717494494.412971,,,,8.409999847,
1717494494.418220,0.423629075,,,,
1717494494.418266,,,-0.107246704,,
1717494494.423926,,614.000000000,,,
1717494494.434946,,,,,0.089777775
1717494494.445047,,,,8.387999535,
1717494494.451365,0.423635423,,,,
1717494494.451395,,,-0.234537318,,
1717494494.455022,,609.000000000,,,
1717494494.468022,,,,,0.092166670
1717494494.478015,,,,8.383000374,
1717494494.478878,0.423601955,,,,
1717494494.478927,,,-0.399411500,,
1717494494.491941,,759.000000000,,,
1717494494.502024,,,,,0.095222220
1717494494.512003,,,,8.482999802,
1717494494.512457,0.423598021,,,,
1717494494.512490,,,-0.601694763,,
1717494494.526993,,746.000000000,,,
1717494494.537023,,,,,0.099166669
1717494494.546245,0.423600465,,,,
1717494494.546303,,,-0.744024336,,
1717494494.546970,,,,8.704000473,
1717494494.563942,,701.000000000,,,
1717494494.573985,,,,,0.103722222
1717494494.579549,0.423608899,,,,
1717494494.579590,,,-0.893437266,,
1717494494.583929,,,,8.871999741,
1717494494.596959,,620.000000000,,,
1717494494.606975,,,,,0.107555553
1717494494.612897,0.423626304,,,,
1717494494.612955,,,-0.978416979,,
1717494494.616920,,,,8.592000008,
1717494494.629984,,768.000000000,,,
1717494494.640023,,,,,0.111500002
1717494494.648207,0.423638374,,,,
1717494494.648245,,,-1.050310969,,
1717494494.648934,,,,8.829000473,
1717494494.663957,,749.000000000,,,
1717494494.673975,,,,,0.116444446
1717494494.683992,,,,9.008999825,
1717494494.684825,0.423650652,,,,
1717494494.684841,,,-1.096328139,,
1717494494.697026,,618.000000000,,,
1717494494.707031,,,,,0.121833332
1717494494.717033,,,,9.199999809,
1717494494.718137,0.423581630,,,,
1717494494.718162,,,-1.104133606,,
1717494494.729986,,743.000000000,,,
1717494494.739997,,,,,0.127000004
1717494494.749409,0.423579514,,,,
1717494494.749440,,,-1.073528528,,
1717494494.749953,,,,9.409000397,
1717494494.765990,,691.000000000,,,
1717494494.777048,,,,,0.133277774
1717494494.783446,0.423527271,,,,
1717494494.783503,,,-0.992214382,,
1717494494.786942,,,,9.536000252,
1717494494.801074,,683.000000000,,,
1717494494.811028,,,,,0.139444441
1717494494.818324,0.423543781,,,,
1717494494.818361,,,-0.796382844,,
1717494494.820959,,,,9.652999878,
1717494494.835078,,614.000000000,,,
1717494494.845019,,,,,0.145111114
1717494494.852194,0.423555970,,,,
1717494494.852232,,,-0.512307823,,
1717494494.854962,,,,9.407999992,
1717494494.870073,,614.000000000,,,
1717494494.881081,,,,,0.150388882
1717494494.884177,0.423517555,,,,
1717494494.884197,,,-0.217277512,,
1717494494.897060,,,,9.425000191,
1717494494.907028,,762.000000000,,,
1717494494.917002,,,,,0.156111106
1717494494.917815,0.423479736,,,,
1717494494.917837,,,0.089031808,,
1717494494.933052,,,,9.543999672,
1717494494.942968,,774.000000000,,,
1717494494.951927,0.423533946,,,,
1717494494.951965,,,0.394155622,,
1717494494.953976,,,,,0.162055552
1717494494.970026,,,,9.505000114,
1717494494.981059,,613.000000000,,,
1717494494.984945,0.423623949,,,,
1717494494.985004,,,0.710533082,,
1717494494.991973,,,,,0.167666674
1717494495.002122,,,,9.241000175,
1717494495.012062,,613.000000000,,,
1717494495.013456,0.423691452,,,,
1717494495.013474,,,1.012447000,,
1717494495.026015,,,,,0.171944439
1717494495.036110,,,,8.977999687,
1717494495.046176,,734.000000000,,,
1717494495.049621,0.423783749,,,,
1717494495.049666,,,1.274571180,,
1717494495.056010,,,,,0.175722227
1717494495.066061,,,,8.921999931,
1717494495.076113,,679.000000000,,,
1717494495.083226,0.423803151,,,,
1717494495.083272,,,1.483872056,,
1717494495.086023,,,,,0.179611117
1717494495.101124,,,,8.821000099,
1717494495.111021,,625.000000000,,,
1717494495.118509,0.423861444,,,,
1717494495.118549,,,1.641021967,,
1717494495.123037,,,,,0.184000000
1717494495.135051,,,,8.715999603,
1717494495.145140,,678.000000000,,,
1717494495.152834,0.423865199,,,,
1717494495.152873,,,1.695244670,,
1717494495.155065,,,,,0.187555552
1717494495.170113,,,,8.715999603,
1717494495.181041,,782.000000000,,,
1717494495.184954,0.423914224,,,,
1717494495.184982,,,1.685658336,,
1717494495.191022,,,,,0.191777781
1717494495.201114,,,,8.836000443,
1717494495.211096,,641.000000000,,,
1717494495.220613,0.423958182,,,,
1717494495.220655,,,1.625164986,,
1717494495.221053,,,,,0.196166664
1717494495.236146,,,,8.637000084,
1717494495.246109,,703.000000000,,,
1717494495.251967,0.424018443,,,,
1717494495.252024,,,1.513968468,,
1717494495.255969,,,,,0.201277778
1717494495.269099,,,,8.519000053,
1717494495.279096,,764.000000000,,,
1717494495.282067,0.423942089,,,,
1717494495.282105,,,1.305912018,,
1717494495.293043,,,,,0.207111105
1717494495.304095,,,,8.694000244,
1717494495.314124,,699.000000000,,,
1717494495.315418,0.423937380,,,,
1717494495.315440,,,1.068606973,,
1717494495.328059,,,,,0.213444442
1717494495.338117,,,,8.852000237,
1717494495.348119,,699.000000000,,,
1717494495.348778,0.423932672,,,,
1717494495.348793,,,0.832513094,,
1717494495.362066,,,,,0.219944447
1717494495.372082,,,,9.088000298,
1717494495.381859,0.423907250,,,,
1717494495.381899,,,0.597550869,,
1717494495.383025,,754.000000000,,,
1717494495.399108,,,,,0.227055550
1717494495.409109,,,,9.062000275,
1717494495.419075,,719.000000000,,,
1717494495.419404,0.423912376,,,,
1717494495.419445,,,0.376928747,,
1717494495.433084,,,,,0.234333336
1717494495.443051,,,,9.213000298,
1717494495.452387,0.423852205,,,,
1717494495.452413,,,0.182830542,,
1717494495.453077,,780.000000000,,,
1717494495.469107,,,,,0.242166668
1717494495.479063,,,,9.460000038,
1717494495.483826,0.423866689,,,,
1717494495.483852,,,0.015370307,,
1717494495.489016,,758.000000000,,,
1717494495.499097,,,,,0.249611109
1717494495.509110,,,,9.576999664,
1717494495.519115,,647.000000000,,,
1717494495.519157,0.423806578,,,,
1717494495.519199,,,-0.100636549,,
1717494495.533071,,,,,0.258222222
1717494495.543088,,,,9.505999565,
1717494495.552900,0.423801750,,,,
1717494495.552924,,,-0.152144283,,
1717494495.553071,,633.000000000,,,
1717494495.567182,,,,,0.266388893
1717494495.577103,,,,9.480999947,
1717494495.585227,0.423752695,,,,
1717494495.585265,,,-0.152533934,,
1717494495.588061,,672.000000000,,,
1717494495.602197,,,,,0.273666680
1717494495.612135,,,,9.413999557,
1717494495.620286,0.423732162,,,,
1717494495.620314,,,-0.081523426,,
1717494495.622063,,632.000000000,,,
1717494495.637098,,,,,0.281055570
1717494495.648139,,,,9.291999817,
1717494495.650861,0.423708379,,,,
1717494495.650908,,,0.006807675,,
1717494495.661100,,759.000000000,,,
1717494495.671126,,,,,0.288055569
1717494495.681126,,,,9.376999855,
1717494495.682463,0.423659325,,,,
1717494495.682483,,,0.081822135,,
1717494495.694086,,620.000000000,,,
1717494495.704182,,,,,0.295055568
1717494495.714120,,,,9.149999619,
1717494495.717438,0.423660874,,,,
1717494495.717457,,,0.143988729,,
1717494495.727065,,681.000000000,,,
1717494495.737110,,,,,0.301444441
1717494495.747134,,,,8.979000092,
1717494495.749202,0.423610240,,,,
1717494495.749227,,,0.205481261,,
1717494495.761117,,718.000000000,,,
1717494495.771098,,,,,0.307666659
1717494495.781070,,,,8.880000114,
1717494495.783613,0.423660845,,,,
1717494495.783642,,,0.220793009,,
1717494495.795059,,718.000000000,,,
1717494495.805168,,,,,0.314055562
1717494495.815105,,,,8.885999680,
1717494495.818927,0.423616856,,,,
1717494495.818954,,,0.243819222,,
1717494495.825084,,784.000000000,,,
1717494495.835132,,,,,0.320111126
1717494495.845131,,,,8.928000450,
1717494495.852812,0.423623651,,,,
1717494495.852848,,,0.228704080,,
1717494495.855107,,718.000000000,,,
1717494495.869188,,,,,0.327666670
1717494495.878071,,,,9.048999786,
1717494495.885695,0.423576295,,,,
1717494495.885732,,,0.175301343,,
1717494495.888093,,781.000000000,,,
1717494495.902223,,,,,0.335999995
1717494495.911091,,,,9.295000076,
1717494495.915805,0.423601329,,,,
1717494495.915833,,,0.109756231,,
1717494495.926096,,763.000000000,,,
1717494495.936146,,,,,0.345111102
1717494495.946179,,,,9.449999809,
1717494495.949653,0.423579156,,,,
1717494495.949682,,,0.036889318,,
1717494495.960132,,726.000000000,,,
1717494495.970164,,,,,0.354833335
1717494495.980141,,,,9.588000298,
1717494495.981068,0.423583806,,,,
1717494495.981095,,,-0.002256969,,
1717494495.995125,,700.000000000,,,
1717494496.005189,,,,,0.365055561
1717494496.014956,0.423541814,,,,
1717494496.014993,,,0.009646279,,
1717494496.015114,,,,9.487000465,
1717494496.029108,,776.000000000,,,
1717494496.039143,,,,,0.374833345
1717494496.047005,0.423550069,,,,
1717494496.047048,,,0.085285723,,
1717494496.049154,,,,9.732999802,
1717494496.064192,,630.000000000,,,
1717494496.074174,,,,,0.385277778
1717494496.081472,0.423535347,,,,
1717494496.081511,,,0.173193350,,
1717494496.085133,,,,9.746999741,
1717494496.098159,,690.000000000,,,
1717494496.108193,,,,,0.394666672
1717494496.118159,,,,9.694999695,
1717494496.119599,0.423496813,,,,
1717494496.119632,,,0.332152009,,
1717494496.131153,,668.000000000,,,
1717494496.141129,,,,,0.403499991
1717494496.151318,,,,9.501000404,
1717494496.151396,0.423530549,,,,
1717494496.151414,,,0.494987696,,
1717494496.165289,,668.000000000,,,
1717494496.175187,,,,,0.412277788
1717494496.180760,0.423509359,,,,
1717494496.180791,,,0.656535089,,
1717494496.185152,,,,9.307000160,
1717494496.198252,,798.000000000,,,
1717494496.208214,,,,,0.421666652
1717494496.218164,,,,9.421999931,
1717494496.219179,0.423516214,,,,
1717494496.219212,,,0.817364693,,
1717494496.232186,,699.000000000,,,
1717494496.242188,,,,,0.431277782
1717494496.247224,0.423504502,,,,
1717494496.247255,,,0.977186799,,
1717494496.251170,,,,9.288999557,
1717494496.264196,,759.000000000,,,
1717494496.274190,,,,,0.440388888
1717494496.281245,0.423539490,,,,
1717494496.281272,,,1.131020784,,
1717494496.284134,,,,8.270999908,
1717494496.298244,,684.000000000,,,
1717494496.308207,,,,,0.450111121
1717494496.315611,0.423541725,,,,
1717494496.315651,,,1.225016713,,
1717494496.318149,,,,8.210000038,
1717494496.335178,,678.000000000,,,
1717494496.345228,,,,,0.460444450
1717494496.347871,0.423569977,,,,
1717494496.347897,,,1.280404806,,
1717494496.360196,,,,8.170000076,
1717494496.370233,,629.000000000,,,
1717494496.380172,,,,,0.469555557
1717494496.380810,0.423545450,,,,
1717494496.380828,,,1.271592259,,
1717494496.395237,,,,7.928999901,
1717494496.405258,,793.000000000,,,
1717494496.415226,,,,,0.478555560
1717494496.417097,0.423545629,,,,
1717494496.417134,,,1.237420678,,
1717494496.430150,,,,8.192999840,
1717494496.440188,,799.000000000,,,
1717494496.450236,,,,,0.488666654
1717494496.451111,0.423561275,,,,
1717494496.451158,,,1.152449846,,
1717494496.465233,,,,8.364000320,
1717494496.475230,,634.000000000,,,
1717494496.485185,,,,,0.499888897
1717494496.485362,0.423622102,,,,
1717494496.485384,,,1.017087698,,
